"id","pertanyaanId","jawaban","createdAt","cosine","score"
"1","1","Bidikmisi adalah bantuan biaya pendidikan yang diberikan pemerintah dan ditujukan bagi lulusan Sekolah Menengah Atas (SMA) atau sederajat yang memiliki potensi akademik baik, tetapi memiliki ","2024-05-27 16:40:30.325","1","3.993"
"2","1","Bidik Misi adalah Program bantuan pemerintah","2024-05-27 16:40:30.325","1","3"
"3","1","Bidik Misi Adalah Beasiswa","2024-05-27 16:40:30.325","1","3"
"4","2","meningkatkan akses dan kesempatan belajar di perguruan tinggi bagi peserta didik yang memiliki berpotensi akademik baik tetapi memiliki keterbatasan ekonomi","2024-05-27 16:41:10.973","1","0.36299999999999977"
"5","2","Mensejahterakan Mahasiswa","2024-05-27 16:41:10.973","1","0.2999999999999998"
"6","2","Meluluskan Mahasiswa","2024-05-27 16:41:10.973","1","0.2999999999999998"
"7","3","Mahasiswa berbeasiswa Bidik Misi dibebaskan melakukan pembayaran UKT/SPP , Ikoma namun tetap harus melakukan daftar ulang online","2024-05-27 16:43:05.076","1","3.3"
"8","3","Melalui ATM","2024-05-27 16:43:05.076","1","3"
"9","3","Bisa M banking","2024-05-27 16:43:05.076","1","3"
"10","4","Tidak, Anda harus login ke laman http://online.pens.ac.id pada menu daftar ulang klik tombol DAFTAR ULANG, lalu cetak bukti daftar ulang anda sebagai bukti anda sudah melakukan daftar ulang.","2024-05-27 16:44:43.718","1.0000000000000002","3.3"
"11","4","Otomatis","2024-05-27 16:44:43.718","1.0000000000000002","3"
"12","4","Tidak bisa","2024-05-27 16:44:43.718","1.0000000000000002","3"
"13","5","Karena jumlah yang dibayarkan tiap mahasiswa dan angkatan berbeda maka jumlah itu silahkan dicek di menu daftar ulang laman http://online.mis.eepis-its.edu atau ATM/Internet Banking/TELLER","2024-05-27 16:44:54.644","1.0000000000000002","3.63"
"14","5","Sesuai Nominal","2024-05-27 16:44:54.644","1.0000000000000002","3"
"15","5","Konsultasikan ke BAAK","2024-05-27 16:44:54.644","1.0000000000000002","3"
"16","6","Tidak Bisa","2024-05-27 16:45:09.101","1","3.3"
"17","6","Kurang tau","2024-05-27 16:45:09.101","1","3"
"18","6","Belum Bisa","2024-05-27 16:45:09.101","1","3"
"19","7","Untuk mendaftar beasiswa adaro dari PENS dapat melalui link https://intip.in/Adaro2020/","2024-05-27 16:45:15.060","1","3.3"
"20","7","Lewat Kemahasiswaan","2024-05-27 16:45:15.060","1","3"
"21","7","lewat PT djarum","2024-05-27 16:45:15.060","1","3"
"22","8","Untuk mendaftar beasiswa djarum plus dapat melalui website https://djarumbeasiswaplus.org/","2024-05-27 16:45:23.757","1","3.3"
"23","8","Lewat Website terterra","2024-05-27 16:45:23.757","1","3"
"24","8","Ditanyakan ke kemahasiswaan","2024-05-27 16:45:23.757","1","3"
"25","9","Gedung Kemahasiswaan PENS berlokasi di D4 Lantai 1 di Politeknik Elektronika Negeri Surabaya","2024-05-27 16:45:31.631","1.0000000000000002","0.13784918959071632"
"26","9","Di gedung PENS","2024-05-27 16:45:31.631","1.0000000000000002","0.02999999999999997"
"27","9","Di gedung D4 PENS","2024-05-27 16:45:31.631","1.0000000000000002","0.02999999999999997"
"28","10","Jalan Raya ITS - Kampus PENS Sukolilo Surabaya 60111, Indonesia","2024-05-27 16:45:41.449","1","3.3"
"29","10","Sukolilo ITS","2024-05-27 16:45:41.449","1","3"
"30","10","Jadi satu dengan gedung ITS","2024-05-27 16:45:41.449","1","3"
"31","11","Persyaratan pendaftaran adalah:
Sedang menempuh pendidikan Strata 1/Diploma 4 di semester IV, dari semua disiplin ilmu.
IPK minimum 3.00 pada semester III, serta dapat mempertahankan IPK mini","2024-05-27 16:45:47.489","1","3"
"32","11","persyaratan terrtera di Dokumen","2024-05-27 16:45:47.489","1","3"
"33","11","Detail Persyaratan anda dapat melihat di Website","2024-05-27 16:45:47.489","1","3"
"34","13","Pendaftar melakukan pendaftaran online dan mengisi dengan lengkap formulir pendaftaran (melalui link website resmi yang akan dibuka pada bulan 20 Maret - 27 Mei 2023).
Pendaftar akan mendapa","2024-05-27 16:51:50.574","1.0000000000000002","3"
"35","13","Lewat Kantor POS","2024-05-27 16:51:50.574","1.0000000000000002","3"
"36","13","Lewat PENS","2024-05-27 16:51:50.574","1.0000000000000002","3"
"37","14","Program Djarum Beasiswa Plus dibuka 1 kali dalam 1 tahun untuk mahasiswa yang tengah menempuh semester IV. Untuk tahun 2023, pendaftaran akan dibuka pada 20 Maret 2023 dan ditutup pada 27 Mei","2024-05-27 16:53:16.080","1.0000000000000002","3.3"
"38","14","Dibuka setaun sekali","2024-05-27 16:53:16.080","1.0000000000000002","3"
"39","14","Awal awal Januari","2024-05-27 16:53:16.080","1.0000000000000002","3"
"40","15","Kegiatan mahasiswa PENS yang meliputi penalaran adalah GEMASTIK, NPEO, PKM dan MAWAPRES","2024-05-27 16:53:21.931","1","3.3"
"41","15","Mulai dari UKM, Organsiasi hingga robot","2024-05-27 16:53:21.931","1","3"
"42","15","Ada banyak sekali","2024-05-27 16:53:21.931","1","3"
"43","16","Futsal, Volly , Tari, Tenis Meja, Badminton, Tae Kwon Do, Basket dan ENT","2024-05-27 16:53:28.682","1","3.3"
"44","16","Ada banyak mulai olahraga hingga nalar","2024-05-27 16:53:28.682","1","3"
"45","16","Menalar dan olahraga","2024-05-27 16:53:28.682","1","3"
"46","17","Badan Eksekutif Mahasiswa, Dewan Perwakilan Mahasiswa, Dewan Konstitusi Mahasiswa, Lembaga Minat Bakat, Unit Kegiatan Kerohanian Islam, Unit Kegiatan Kristen Katolik dan Himpunan Mahasiswa","2024-05-27 16:53:33.352","1","3.3"
"47","17","Organisasi Mahasiswa hima dan bem","2024-05-27 16:53:33.352","1","3"
"48","17","ada banyak","2024-05-27 16:53:33.352","1","3"
"49","18","Mulai dari beasiswa, Konsultasi Psikologi dan Klinik untuk dokter umum.","2024-05-27 16:53:38.015","1.0000000000000002","3.63"
"50","18","Bidang akademis","2024-05-27 16:53:38.015","1.0000000000000002","3"
"51","18","Bidang kemahsiswaan","2024-05-27 16:53:38.015","1.0000000000000002","3"
"52","19","
Beasiswa adalah bentuk bantuan keuangan yang diberikan kepada seseorang untuk membantu membiayai pendidikannya. Beasiswa bisa diberikan oleh pemerintah, lembaga pendidikan, organisasi non-p","2024-05-27 16:53:59.566","1","3"
"53","19","beasiswa adalah untuk meringankan mahasiswa","2024-05-27 16:53:59.566","1","3"
"54","19","Beasiswa adalah bantuan mahasiswa","2024-05-27 16:53:59.566","1","3"
"55","20","Politeknik Elektronika Negeri Surabaya atau yang biasa dikenal dengan PENS merupakan salah satu perguruan tinggi negeri terbaik yang menyelenggarakan pendidikan vokasi pada bidang elektronik ","2024-05-27 16:54:04.544","1","3.993"
"56","20","Kampus Vokasi","2024-05-27 16:54:04.544","1","0.2999999999999998"
"57","20","Kampus nomor 1","2024-05-27 16:54:04.544","1","0.2999999999999998"
"58","21","organisasi mahasiswa tingkat jurusan atau program studi yang memiliki tujuan sama dengan perguruan tinggi untuk mengembangkan minat bakat mahasiswa baik di bidang akademik maupun non akademik","2024-05-27 16:54:08.618","1.0000000000000002","3.63"
"59","21","Organisasi Mahasiswa","2024-05-27 16:54:08.618","1.0000000000000002","3"
"60","21","organissasi untuk pengembangan diri ","2024-05-27 16:54:08.618","1.0000000000000002","3"
"61","22","Kompetisi Mahasiswa Informatika Politeknik Nasional KMIPN merupakan ajang bergengsi untuk Politeknik se-Indonesia di bidang Informatika. Pada tahun ini KMIPN akan dilaksanakan di Jakarta.","2024-05-27 16:54:12.627","1","3.63"
"62","22","Lomba Teknologi","2024-05-27 16:54:12.627","1","3"
"63","22","Lomba untuk mahasiswa","2024-05-27 16:54:12.627","1","3"
"64","23","GEMASTIK atau Pagelaran Mahasiswa Nasional Bidang Teknologi Informasi dan Komunikasi, merupakan program Pusat Prestasi Nasional, Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi","2024-05-27 16:54:16.150","1","3.3"
"65","23","Lomba diadakan kemendikbud","2024-05-27 16:54:16.150","1","3"
"66","23","Lomba tahunan yang diadakan pens","2024-05-27 16:54:16.150","1","3"
"67","24","Program Mahasiswa Wirausaha PMW merupakan program yang diperuntukkan bagi mahasiswa dalam menciptakan aktivitas usaha.","2024-05-27 16:54:19.415","1","3.3"
"68","24","Program wirausaha mahasiswa","2024-05-27 16:54:19.415","1","3"
"69","24","Lomba kewirausahaan","2024-05-27 16:54:19.415","1","3"
"70","25","Program Pembinaan Mahasiswa Wirausaha P2MW adalah program pengembangan usaha mahasiswa yang telah memiliki usaha. Program ini memberikan bantuan dana pengembangan dan pembinaan dengan melakuk","2024-05-27 16:54:23.299","1","3.63"
"71","25","Program kewirausahaan","2024-05-27 16:54:23.299","1","3"
"72","25","Lomba mahasiswa","2024-05-27 16:54:23.299","1","3"
"73","26","Kompetisi Mahasiswa Informatika Politeknik Nasional KMIPN VI akan dilaksanakan pada 1�3 Juli 2024. Pendaftaran dan pengajuan proposal akan dilakukan secara daring pada 22 Maret�13 Mei 2024","2024-05-27 16:54:29.629","1","3.63"
"74","26","Setiap Tahun","2024-05-27 16:54:29.629","1","3"
"75","26","diadakan tahun 2024","2024-05-27 16:54:29.629","1","3"
"76","27","Tahap 1, Pendaftaran Perguruan Tinggi : 12 Mei - 10 Juli 2023 
 khusus Divisi II Keamanan Siber : 12 Mei  7 Juli 2023 
Tahap 2, pendaftaran tim untuk semua divisi lomba : 12 Mei - 10 Juli 2","2024-05-27 16:55:05.305","1","3"
"77","27","Serangkaian Tahun 2024 ","2024-05-27 16:55:05.305","1","3"
"78","27","Lebih lengkap ada di guidebook","2024-05-27 16:55:05.305","1","3"
"79","28","Sosialisasi : 31 Maret 2023
Pengumpulan Proposal : 17 April 2023
Pengumuman Proposal Lolos Seleksi : 05 Mei 2023
Presentasi Proposal : 08 Mei 2023
Pengumuman Tim Lolos Seleksi : 12 Mei 20","2024-05-27 16:55:12.857","1","3"
"80","28","Diadakan Tahun 2024 ","2024-05-27 16:55:12.857","1","3"
"81","28","Selengkapnya diumumkan oleh kemahasiswaan","2024-05-27 16:55:12.857","1","3"
"82","28","Sosialisasi : 31 Maret 2023
Pengumpulan Proposal : 17 April 2023
Pengumuman Proposal Lolos Seleksi : 05 Mei 2023
Presentasi Proposal : 08 Mei 2023
Pengumuman Tim Lolos Seleksi : 12 Mei 20","2024-05-27 16:57:21.099","1","3"
"83","30","Pendaftaran Paling Lambat 8 Maret 2024","2024-05-27 16:57:29.663","1","3"
"84","30","Selengkapnya ada di kemahasiswaan","2024-05-27 16:57:29.663","1","3"
"85","30","akan diinformasikan melalui kemahasiswaan dan pens blast","2024-05-27 16:57:29.663","1","3"
"86","31","Terdapat GEMASTIK,KMIPN,PORSENI,PMW,P2MW","2024-05-27 16:57:35.560","1.0000000000000002","3.3"
"87","31","Selengkapnya ada di kemahasiswaan","2024-05-27 16:57:35.560","1.0000000000000002","3"
"88","31","ada beberapa yang diadakan","2024-05-27 16:57:35.560","1.0000000000000002","3"
"89","32","Kampus Merdeka merupakan kebijakan Menteri Pendidikan dan Kebudayaan Nadiem Makarim yang membebaskan mahasiswa untuk mengikuti kegiatan di luar program studinya selama 1 semester atau setara ","2024-05-27 16:57:41.826","1.0000000000000002","3.3"
"90","32","Program Dari Kemendikbud","2024-05-27 16:57:41.826","1.0000000000000002","3"
"91","32","Program dari kemendikbud","2024-05-27 16:57:41.826","1.0000000000000002","3"
"92","33","Terdapat program Kampus Merdeka dari Kemendikbud, Kemensos, serta BUMN","2024-05-27 16:57:48.253","1","4.3923"
"93","33","MSIB dan SI ","2024-05-27 16:57:48.253","1","3"
"94","33","Magang saja","2024-05-27 16:57:48.253","1","3"
"95","34","Badan Eksekutif Mahasiswa BEM adalah organisasi mahasiswa intra kampus yang merupakan lembaga eksekutif di tingkat Universitas atau Institusi. Dalam melaksanakan program � programnya, BEM mem","2024-05-27 16:57:52.178","1.0000000000000002","3.63"
"96","34","Organisasi Mahasiswa","2024-05-27 16:57:52.178","1.0000000000000002","3"
"97","34","Organisasi yang ada di PENS","2024-05-27 16:57:52.178","1.0000000000000002","3"
"98","35","Program Kreativitas Mahasiswa PKM adalah program yang bertujuan untuk meningkatkan mutu mahasiswa di perguruan tinggi. PKM diharapkan dapat meningkatkan soft skill dan kompetensi mahasiswa In","2024-05-27 16:57:57.209","1","3.3"
"99","35","Lomba untuk PENS","2024-05-27 16:57:57.209","1","3"
"100","35","Lomba untuk Mahasiswa PENS","2024-05-27 16:57:57.209","1","3"
"101","36","PKM memiliki lima jenis, yaitu
PKM Penelitian PKMP
PKM-AI
PKM-K Kewirausahaan
PKM-M Pengabdian Masyarakat
PKM-T Teknologi
PKM-KC Karsa Cipta
Kapan Pelaksanaan PKM?,Pelaksanaan PKM seme","2024-05-27 16:58:00.890","1","3"
"102","36","Banyak Sekali","2024-05-27 16:58:00.890","1","3"
"103","36","ada 5 jenis","2024-05-27 16:58:00.890","1","3"
"104","37","Untuk mendaftar di Politeknik Elektronika Negeri Surabaya (PENS), Anda perlu mengikuti prosedur pendaftaran yang telah ditetapkan oleh lembaga tersebut. Berikut langkah-langkah umum untuk men","2024-05-27 16:58:04.337","1.0000000000000002","3.63"
"105","37","Lewat SBMPTN","2024-05-27 16:58:04.337","1.0000000000000002","3"
"106","37","Lewat SNMPTN","2024-05-27 16:58:04.337","1.0000000000000002","3"
"107","38","Politeknik Elektronika Negeri Surabaya (PENS) menawarkan berbagai program studi atau jurusan dalam bidang teknik elektronika dan informatika. Beberapa program studi yang tersedia di PENS anta","2024-05-27 16:58:08.155","1","3.3"
"108","38","Ada 5 jurusan","2024-05-27 16:58:08.155","1","3"
"109","38","Ada banyak fakultas","2024-05-27 16:58:08.155","1","3"
"110","39","Pendaftaran KMIPN biasanya dilakukan secara daring melalui platform resmi acara tersebut. Calon peserta perlu mengisi formulir pendaftaran dan mengajukan proposal proyek mereka sesuai dengan ","2024-05-27 16:58:11.478","1.0000000000000002","3.993"
"111","39","Lewat form yang disediakan","2024-05-27 16:58:11.478","1.0000000000000002","3"
"112","39","Lewat kemahasiswaan","2024-05-27 16:58:11.478","1.0000000000000002","3"
"113","40","PORSENI adalah singkatan dari Pekan Olahraga dan Seni yang merupakan rangkaian kegiatan kompetisi olahraga dan seni antar mahasiswa Politeknik seluruh indonesia","2024-05-27 16:58:16.282","1","3.63"
"114","40","Lomba Olahraga","2024-05-27 16:58:16.282","1","3"
"115","40","Lomba Kebugaran","2024-05-27 16:58:16.282","1","3"
"116","41","Mahasiswa dapat mengakses melalui online.mis.pens.ac.id","2024-05-27 16:58:21.734","1","3.993"
"117","41","Lewat Website terterra","2024-05-27 16:58:21.734","1","3"
"118","41","melihat melalui website tertenty","2024-05-27 16:58:21.734","1","3"
"119","42","PENS adalah singkatan dari Politeknik Elektronika Negeri Surabaya. PENS adalah institusi pendidikan tinggi dengan bidang keahlian yang meliputi Teknik Informatika, Teknik Elektro Industri, Te","2024-05-27 16:58:25.679","1","5.8461513"
"120","42","Politeknik ITS","2024-05-27 16:58:25.679","1","0.2999999999999998"
